katedra,zkratka,garanti,garantiUcitIdno,prednasejici,prednasejiciUcitIdno
KGEO,M407,"'RNDr. Ivan Farský, CSc.'",315,"'RNDr. Ivan Farský, CSc.', 'RNDr. Dana Fialová, Ph.D.', 'RNDr. Jiří Vágner, Ph.D.'","315,4397,4398"
KBI,MA100,"'doc. RNDr. Jaromír Hajer, CSc.'",278,"'Mgr. Michaela Czerneková, Ph.D.', 'doc. RNDr. Jaromír Hajer, CSc.'","8018,278"
KBI,MA102,"'doc. RNDr. Jaromír Hajer, CSc.'",278,"'Ing. Markéta Gloneková, Ph.D.', 'doc. RNDr. Jaromír Hajer, CSc.'","8526,278"
KMA,MA2,"'doc. PaedDr. Petr Eisenmann, CSc.'",261,"'doc. PaedDr. Petr Eisenmann, CSc.', 'RNDr. Veronika Pitrová, PhD., Ph.D.'","261,5205"
KBI,MA200,"'doc. RNDr. Karel Kubát, CSc.'",279,"'Ing. Handrij Härtel, Ph.D.', 'doc. RNDr. Karel Kubát, CSc.'","4265,279"
KBI,MA201,"'Mgr. Michal Holec, Ph.D.'",555,"'Mgr. Diana Holcová, Ph.D.', 'Mgr. Michal Holec, Ph.D.'","3212,555"
KMA,MA3,"'doc. Yaroslav Bazaykin, CSc., DSc.'",8987,"'doc. Yaroslav Bazaykin, CSc., DSc.', 'RNDr. Veronika Pitrová, PhD., Ph.D.'","8987,5205"
KBI,MA300,"'doc. RNDr. Karel Kubát, CSc.'",279,"'Ing. Handrij Härtel, Ph.D.', 'doc. RNDr. Karel Kubát, CSc.'","4265,279"
KMA,MADI,"'doc. Yaroslav Bazaykin, CSc., DSc.'",8987,"'doc. Yaroslav Bazaykin, CSc., DSc.', 'RNDr. Veronika Pitrová, PhD., Ph.D.'","8987,5205"
KFY,MD,"",,"'prof. Ing. Martin Lísal, DSc.'",609
KBI,ME100,"'doc. MUDr. Vladislav Mareš, DrSc.'",281,"'doc. MUDr. Vladislav Mareš, DrSc.', 'Mgr. Marian Rupert'","281,5275"
KCH,ME200,"'doc. Ing. Josef Trögl, Ph.D.'",2065,"'RNDr. Thu Huong Nguyen Thi, Ph.D.', 'doc. Ing. Josef Trögl, Ph.D.'","429,2065"
CNB,ME200,"'Mgr. Michaela Liegertová, Ph.D.'",4472,"'Mgr. Jana Čejnová', 'Mgr. Michaela Liegertová, Ph.D.'","1986,4472"
CNB,ME204,"'Mgr. Marcel Štofik, Ph.D.'",1503,"",
KBI,ME301,"'prof. doc. RNDr. Milan Gryndler, CSc.'",3661,"'RNDr. Pavel Branny, CSc.', 'prof. doc. RNDr. Milan Gryndler, CSc.'","8154,3661"
CNB,ME400,"'Mgr. Jan Malý, Ph.D.'",280,"'prof. Ing. Zdeňka Kolská, Ph.D.', 'Mgr. Jan Malý, Ph.D.', 'Dominika Zofia Wróbel, Ph.D.'","332,280,4711"
KFY,MECH,"'Mgr. Jindřich Matoušek, Ph.D.'",4680,"'RNDr. Martin Švec, Ph.D.'",613
KMA,MK102,"",,"'RNDr. Veronika Pitrová, PhD., Ph.D.'",5205
KMA,MME,"'doc. PaedDr. Petr Eisenmann, CSc.'",261,"'doc. PaedDr. Petr Eisenmann, CSc.', 'RNDr. Jiří Škvor, Ph.D.'","261,2220"
KMA,MU1,"'doc. RNDr. Bohumír Opic, DrSc.'",8438,"'doc. RNDr. Bohumír Opic, DrSc.', 'RNDr. Veronika Pitrová, PhD., Ph.D.', 'PhDr. Jiří Přibyl, Ph.D.'","8438,5205,267"
KMA,MU2,"'doc. Yaroslav Bazaykin, CSc., DSc.'",8987,"'doc. Yaroslav Bazaykin, CSc., DSc.', 'doc. PhDr. Mgr. Ing. Martin Boďa, PhD.'","8987,8035"
KMA,MU3,"'doc. RNDr. Bohumír Opic, DrSc.'",8438,"'doc. Yaroslav Bazaykin, CSc., DSc.', 'RNDr. Martin Kuřil, Ph.D.', 'doc. RNDr. Bohumír Opic, DrSc.'","8987,264,8438"
KBI,N100,"'doc. RNDr. Eva Jozífková, Ph.D. et Ph.D.'",2939,"'RNDr. Jan Ipser, CSc.', 'doc. RNDr. Eva Jozífková, Ph.D. et Ph.D.'","930,2939"
KBI,N102,"'doc. RNDr. Jaromír Hajer, CSc.'",278,"'Mgr. Michaela Czerneková, Ph.D.', 'doc. RNDr. Jaromír Hajer, CSc.', 'Mgr. Michal Holec, Ph.D.'","8018,278,555"
KCH,N109,"'doc. Ing. Josef Trögl, Ph.D.'",2065,"'PharmDr. Markéta Švarcová, Ph.D.', 'doc. Ing. Josef Trögl, Ph.D.', 'RNDr. Ľuboš Vrtoch, PhD., Ph.D.'","3176,2065,4117"
KCH,N117,"",,"'RNDr. Václav Šícha, Ph.D.'",4310
KCH,N118,"'RNDr. Milan Šmídl, Ph.D.'",3704,"'Mgr. Monika Pelikánová', 'RNDr. Milan Šmídl, Ph.D.'","8744,3704"
KBI,N201,"'Mgr. Michaela Liegertová, Ph.D.'",4472,"'RNDr. Jan Ipser, CSc.', 'Mgr. Michaela Liegertová, Ph.D.'","930,4472"
KCH,N213,"'prof. RNDr. Ivo Nezbeda, DrSc.'",305,"'prof. RNDr. Ivo Nezbeda, DrSc.', 'Ing. Magda Škvorová, Ph.D.'","305,2856"
KCH,N228,"'doc. Ing. Josef Trögl, Ph.D.'",2065,"'RNDr. Thu Huong Nguyen Thi, Ph.D.', 'doc. Ing. Josef Trögl, Ph.D.'","429,2065"
KCH,N230,"'RNDr. Milan Šmídl, Ph.D.'",3704,"'Mgr. Monika Pelikánová', 'RNDr. Milan Šmídl, Ph.D.'","8744,3704"
KBI,N300,"'doc. RNDr. Eva Jozífková, Ph.D. et Ph.D.'",2939,"'RNDr. Jan Ipser, CSc.', 'doc. RNDr. Eva Jozífková, Ph.D. et Ph.D.'","930,2939"
KCH,N304,"'RNDr. Milan Šmídl, Ph.D.'",3704,"'prof. PhDr. Jiří Škoda, Ph.D., MBA', 'RNDr. Milan Šmídl, Ph.D.'","336,3704"
KCH,N307,"'prof. Ing. Josef Šedlbauer, Ph.D.'",1775,"'prof. Ing. Zdeňka Kolská, Ph.D.', 'prof. Ing. Josef Šedlbauer, Ph.D.'","332,1775"
KCH,N308,"'prof. Ing. Pavel Janoš, CSc.'",550,"'Ing. Václav Dušek', 'prof. Ing. Pavel Janoš, CSc.'","1115,550"
KCH,N324,"'doc. RNDr. Jan Jirsák, Ph.D.'",2855,"'doc. RNDr. Jan Jirsák, Ph.D.', 'Ing. Magda Škvorová, Ph.D.'","2855,2856"
KCH,N325,"'RNDr. Milan Šmídl, Ph.D.'",3704,"'Mgr. Monika Pelikánová', 'RNDr. Milan Šmídl, Ph.D.'","8744,3704"
KCH,N406,"'prof. Ing. Pavel Janoš, CSc.'",550,"'prof. Ing. Pavel Janoš, CSc.', 'Ing. Sylvie Kříženecká, Ph.D.'","550,921"
KCH,N407,"'doc. Ing. Jan Čermák, CSc.'",1064,"'RNDr. Thu Huong Nguyen Thi, Ph.D.'",429
KCH,NA01,"'doc. Ing. Josef Trögl, Ph.D.'",2065,"'RNDr. Thu Huong Nguyen Thi, Ph.D.', 'doc. Ing. Josef Trögl, Ph.D.'","429,2065"
KCH,NA02,"'doc. Ing. Jan Čermák, CSc.'",1064,"'RNDr. Thu Huong Nguyen Thi, Ph.D.'",429
KFY,NA04,"'doc. Ing. Martin Kormunda, Ph.D.'",2384,"'prof. Ing. Zdeňka Kolská, Ph.D.', 'doc. Ing. Martin Kormunda, Ph.D.', 'Mgr. Jan Malý, Ph.D.'","332,2384,280"
CNB,NA08,"'doc. RNDr. Jaroslav Pavlík, CSc.'",308,"'prof. Ing. Zdeňka Kolská, Ph.D.', 'Mgr. Jan Malý, Ph.D.', 'doc. RNDr. Jaroslav Pavlík, CSc.'","332,280,308"
KFY,NA08,"'doc. RNDr. Jaroslav Pavlík, CSc.'",308,"'prof. Ing. Zdeňka Kolská, Ph.D.', 'Mgr. Jan Malý, Ph.D.', 'doc. RNDr. Jaroslav Pavlík, CSc.'","332,280,308"
KFY,NA12,"'doc. RNDr. Jaroslav Pavlík, CSc.'",308,"'RNDr. Petr Malinský, Ph.D.', 'doc. RNDr. Jaroslav Pavlík, CSc.'","4681,308"
KI,NME,"'doc. Ing. Mgr. Jiří Barilla, CSc.'",449,"'doc. Ing. Mgr. Jiří Barilla, CSc.', 'RNDr. Petr Kubera, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","449,650,2220"
KMA,ODR,"'doc. RNDr. Bohumír Opic, DrSc.'",8438,"'doc. RNDr. Bohumír Opic, DrSc.', 'RNDr. Veronika Pitrová, PhD., Ph.D.'","8438,5205"
KI,OOD,"'RNDr. Petr Kubera, Ph.D.'",650,"",
KI,OPR,"'RNDr. Petr Kubera, Ph.D.'",650,"'RNDr. Petr Kubera, Ph.D.', 'Dr. Hossein Moosaei, Ph.D.'","650,9114"
KI,OPT,"'prof. Sergii Babichev, CSc., DSc.'",3416,"'prof. Sergii Babichev, CSc., DSc.', 'RNDr. Petr Kubera, Ph.D.'","3416,650"
KI,OTT,"'doc. Ing. Mgr. Jiří Barilla, CSc.'",449,"'doc. Ing. Mgr. Jiří Barilla, CSc.', 'RNDr. Petr Kubera, Ph.D.'","449,650"
KCH,P102,"'doc. RNDr. Jan Jirsák, Ph.D.'",2855,"'doc. RNDr. Jan Jirsák, Ph.D.', 'prof. Ing. Zdeňka Kolská, Ph.D.'","2855,332"
KBI,P201,"'RNDr. Oldřich Benada, CSc.'",1983,"",
KBI,P202,"'doc. RNDr. Karel Kubát, CSc.'",279,"",
KBI,P210,"'RNDr. Jan Ipser, CSc.'",930,"",
KFY,P217,"'prof. RNDr. Pavla Čapková, DrSc.'",3553,"'prof. RNDr. Pavla Čapková, DrSc.', 'doc. RNDr. Stanislav Daniš, Ph.D.'","3553,9281"
KBI,P301,"'prof. doc. RNDr. Milan Gryndler, CSc.', 'RNDr. Lenka Němcová, CSc.'","3661,283","'prof. doc. RNDr. Milan Gryndler, CSc.'",3661
KCH,P312,"'doc. Ing. Josef Seják, CSc.'",179,"'Ing. Johana Jackovičová, Ph.D.', 'Ing. Jiří Moravec, Ph.D., MBA'","5131,2527"
KMA,P335,"'PhDr. Jiří Přibyl, Ph.D.'",267,"'RNDr. Lenka Juklová, Ph.D.', 'PhDr. Jiří Přibyl, Ph.D.'","8748,267"
KCH,P402,"'doc. Ing. Jaromír Lederer, CSc.'",1543,"",
KBI,P421,"'doc. RNDr. Karel Kubát, CSc.'",279,"'Ing. Markéta Gloneková, Ph.D.', 'doc. RNDr. Karel Kubát, CSc.'","8526,279"
KFY,P502,"'prof. RNDr. Ivo Nezbeda, DrSc.'",305,"'doc. RNDr. Filip Moučka, Ph.D.', 'prof. RNDr. Ivo Nezbeda, DrSc.'","3222,305"
KBI,P502,"'Ing. Stanislav Vinopal, Ph.D.'",8024,"'Mgr. Marian Rupert', 'Ing. Stanislav Vinopal, Ph.D.'","5275,8024"
KBI,P514,"'doc. RNDr. Eva Jozífková, Ph.D. et Ph.D.'",2939,"'RNDr. Jan Ipser, CSc.', 'doc. RNDr. Eva Jozífková, Ph.D. et Ph.D.'","930,2939"
KMA,P521,"'doc. PhDr. Mgr. Ing. Martin Boďa, PhD.'",8035,"'doc. PhDr. Mgr. Ing. Martin Boďa, PhD.', 'Mgr. Lucie Loukotová'","8035,3188"
KBI,P522,"'Ing. Stanislav Vinopal, Ph.D.'",8024,"'Mgr. Marian Rupert', 'Ing. Stanislav Vinopal, Ph.D.'","5275,8024"
KBI,P526,"'Mgr. Hana Auer Malinská, Ph.D.'",5471,"'Mgr. Jan Malý, Ph.D.'",280
KCH,P528,"",,"'doc. Ing. Jaromír Havlica, Ph.D.'",1803
KBI,P609,"'RNDr. Jan Ipser, CSc.'",930,"",
KBI,P615,"'Mgr. Jan Malý, Ph.D.'",280,"'Mgr. Olga Šebestová Janoušková, Ph.D.'",8512
KBI,P618,"'RNDr. Jan Ipser, CSc.'",930,"",
KI,PAR,"'doc. RNDr. Zbyšek Posel, Ph.D.'",3521,"'Mgr. Jiří Fišer, Ph.D.', 'doc. RNDr. Zbyšek Posel, Ph.D.'","251,3521"
KBI,PB103,"",,"'Mgr. Lukáš Bystrianský, Ph.D.'",5969
KBI,PB122,"'Mgr. Michaela Liegertová, Ph.D.'",4472,"'Mgr. Michaela Liegertová, Ph.D.', 'Mgr. Marian Rupert'","4472,5275"
KBI,PB219,"'doc. RNDr. Karel Kubát, CSc.'",279,"'Ing. Handrij Härtel, Ph.D.', 'doc. RNDr. Karel Kubát, CSc.'","4265,279"
KBI,PB221,"'prof. doc. RNDr. Milan Gryndler, CSc.'",3661,"'Mgr. Lukáš Bystrianský, Ph.D.', 'prof. doc. RNDr. Milan Gryndler, CSc.', 'RNDr. Lenka Němcová, CSc.'","5969,3661,283"
KBI,PB302,"'doc. RNDr. Jaromír Hajer, CSc.'",278,"'Mgr. Michaela Czerneková, Ph.D.', 'doc. RNDr. Jaromír Hajer, CSc.'","8018,278"
KBI,PB333,"'RNDr. Jan Bobek, Ph.D.'",5094,"'RNDr. Jan Bobek, Ph.D.', 'RNDr. Jan Ipser, CSc.'","5094,930"
KBI,PB423,"'doc. RNDr. Eva Jozífková, Ph.D. et Ph.D.'",2939,"'RNDr. Jan Ipser, CSc.', 'doc. RNDr. Eva Jozífková, Ph.D. et Ph.D.'","930,2939"
CNB,PB502,"'Ing. Stanislav Vinopal, Ph.D.'",8024,"'doc. MUDr. Vladislav Mareš, DrSc.', 'Mgr. Marian Rupert', 'Ing. Stanislav Vinopal, Ph.D.'","281,5275,8024"
KBI,PB618,"'Mgr. Hana Auer Malinská, Ph.D.'",5471,"'Mgr. Hana Auer Malinská, Ph.D.', 'RNDr. Jan Ipser, CSc.'","5471,930"
KGEO,PD103,'Ing. Martin Raška',1894,"'doc. RNDr. Martin Balej, Ph.D.', 'Ing. Martin Raška'","313,1894"
KGEO,PD104,"'doc. RNDr. Jaroslav Koutský, Ph.D.', 'doc. Mgr. Pavel Raška, Ph.D.'","1644,1434","'doc. RNDr. Jaroslav Koutský, Ph.D.'",1644
KGEO,PD105,"'doc. PhDr. RNDr. Jan Daniel Bláha, Ph.D.', 'doc. Mgr. Pavel Raška, Ph.D.'","3452,1434","'doc. RNDr. Jiří Anděl, CSc.', 'doc. PhDr. RNDr. Jan Daniel Bláha, Ph.D.'","312,3452"
KI,PDSA,"'doc. RNDr. Mgr. Viktor Maškov, DrSc.'",2239,"'Mgr. Jiří Fišer, Ph.D.', 'doc. RNDr. Mgr. Viktor Maškov, DrSc.', 'RNDr. Jiří Škvor, Ph.D.'","251,2239,2220"
KI,PGH,"'doc. RNDr. Mgr. Viktor Maškov, DrSc.'",2239,"'Ing. Petr Haberzettl', 'doc. RNDr. Mgr. Viktor Maškov, DrSc.'","1780,2239"
KFY,PM,"'prof. RNDr. Rudolf Hrach, DrSc.', 'doc. RNDr. Filip Moučka, Ph.D.'","69,3222","'doc. Ing. Jaromír Havlica, Ph.D.', 'doc. RNDr. Marek Malý, Ph.D.', 'doc. RNDr. Filip Moučka, Ph.D.', 'doc. RNDr. Zbyšek Posel, Ph.D.'","1803,304,3222,3521"
KFY,PMC,"'doc. RNDr. Marek Malý, Ph.D.'",304,"'doc. RNDr. Marek Malý, Ph.D.', 'Mgr. Martin Svoboda, Ph.D.'","304,5958"
KI,PNUM,"'doc. Ing. Mgr. Jiří Barilla, CSc.'",449,"'doc. Ing. Mgr. Jiří Barilla, CSc.', 'RNDr. Petr Kubera, Ph.D.'","449,650"
KMA,PSB,"'PhDr. Magdalena Krátká, Ph.D.'",425,"'Mgr. Alena Černíková, MSc., Ph.D.', 'PhDr. Magdalena Krátká, Ph.D.', 'Mgr. Lucie Loukotová'","9488,425,3188"
KMA,PSM,"'Mgr. Alena Černíková, MSc., Ph.D.'",9488,"'prof. Sergii Babichev, CSc., DSc.', 'Mgr. Alena Černíková, MSc., Ph.D.', 'doc. RNDr. Mgr. Viktor Maškov, DrSc.'","3416,9488,2239"
KFY,PSVN,"'doc. RNDr. Marek Malý, Ph.D.'",304,"'doc. Ing. Jaromír Havlica, Ph.D.', 'doc. RNDr. Jan Jirsák, Ph.D.', 'doc. RNDr. Marek Malý, Ph.D.', 'doc. RNDr. Filip Moučka, Ph.D.', 'prof. RNDr. Stanislav Novák, CSc.', 'Mgr. Martin Svoboda, Ph.D.', 'RNDr. Martin Švec, Ph.D.'","1803,2855,304,3222,306,5958,613"
CNB,PTVN,"'prof. RNDr. Pavla Čapková, DrSc.'",3553,"'RNDr. Petr Ryšánek, Ph.D.'",4587
KI,PYR,"'RNDr. Jiří Škvor, Ph.D.'",2220,"'prof. Sergii Babichev, CSc., DSc.', 'RNDr. Jiří Škvára, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","3416,6259,2220"
KI,SOC,"'doc. RNDr. Mgr. Viktor Maškov, DrSc.'",2239,"'RNDr. Petr Kubera, Ph.D.', 'doc. RNDr. Mgr. Viktor Maškov, DrSc.'","650,2239"
KI,SYS,"'doc. RNDr. Zbyšek Posel, Ph.D.'",3521,"'Mgr. Jiří Fišer, Ph.D.', 'doc. RNDr. Jan Jirsák, Ph.D.', 'doc. RNDr. Zbyšek Posel, Ph.D.'","251,2855,3521"
KI,TZI2,"'RNDr. Martin Kuřil, Ph.D.'",264,"'RNDr. Martin Kuřil, Ph.D.', 'PhDr. Jiří Přibyl, Ph.D.'","264,267"
KFY,UDPM,"'doc. RNDr. Marek Malý, Ph.D.'",304,"'doc. Ing. Jaromír Havlica, Ph.D.', 'doc. RNDr. Jan Jirsák, Ph.D.', 'doc. RNDr. Marek Malý, Ph.D.', 'doc. RNDr. Filip Moučka, Ph.D.', 'prof. RNDr. Stanislav Novák, CSc.', 'Mgr. Martin Svoboda, Ph.D.', 'RNDr. Martin Švec, Ph.D.'","1803,2855,304,3222,306,5958,613"
KMA,VFIN,'Ing. Lucie Kopáčková',6120,"'Ing. Lucie Kopáčková', 'doc. Ing. Alena Maaytová, Ph.D.'","6120,6773"
KFY,VFT,"'doc. RNDr. Jaroslav Pavlík, CSc.'",308,"'RNDr. Adéla Jagerová, Ph.D.'",8739
KMA,VSP,"'Ing. Petra Olšová, Ph.D.'",2142,"'Ing. Eva Krumpová', 'Ing. Petra Olšová, Ph.D.'","5309,2142"
CNB,VT,"'doc. Ing. Martin Kormunda, Ph.D.'",2384,"'prof. Ing. Zdeňka Kolská, Ph.D.', 'doc. Ing. Martin Kormunda, Ph.D.'","332,2384"
KI,ZEL,"'prof. Sergii Babichev, CSc., DSc.'",3416,"'prof. Sergii Babichev, CSc., DSc.', 'Ing. Petr Haberzettl'","3416,1780"
KI,ZKB,"'doc. RNDr. Mgr. Viktor Maškov, DrSc.'",2239,"'RNDr. Jan Krejčí, Ph.D.', 'doc. RNDr. Mgr. Viktor Maškov, DrSc.', 'Mgr. Květuše Sýkorová'","2776,2239,835"
