garantiUcitIdno;katedra;zkratka;prednasejiciUcitIdno;jednotekPrednasek
277;KBO;PH001;3651,1006;2
4153;KPR;7994;;2
723;UTM;KY050;4673;14
4213;KFHS;KB304;;4
355;KHV;PHK15;;10
431;KVP;038;154;4
3477;UTM;PU042;3758;2
1875;KPS;Q950;3759,4410;5
629;KPR;Q9714;;2
586;KTV;7414;;1
1050;KTV;73521;;7
355;KHV;PHK34;;10
1653;KPS;4751;3759,5192;1
4246;USE;KB094;;10
355;KHV;D032;;10
2434;KV1;7930;;2
6412;CCV;PMV11;159;20
355;KHV;PHK17;;5
322;KGER;KN08;;1
384;KVV;7534;3691;1
355;KHV;PHK38;;5
3934;KDT;FU073;2852;1
3550;USE;KU022;;12
277;KBO;Q016;3651,1006;2
1121;KDT;FU052;9525;1
1653;KPS;4152;3759;1
370;KTV;71310;929;1
2410;KTV;7132;376;1
1479;KGI;6PSTA;;10
5726;KE;RKFE9;;9
437;KH1;7932;;2
3538;KPR;7111;;1
8910;KVV;PHK23;;2
370;KTV;Q1310;929;1
3934;KDT;FU045;853;1
159;KPR;7954;;2
143;KDT;FU116;6164;1
2980;KVP;104;4250,3699;1
289;KBO;Q014;;1
1875;KPS;7970;3268;4
2980;KVP;103;4250,3699;1
216;KAJ;7012;3159,220;1
216;KAJ;7012;3159,220;1
8910;KVV;PHK18;384,4700;1
1121;KFO;587;640;2
8282;KZP;6HPZP;9790;10
829;KFHS;KB302;;4
7593;USE;KVZP5;;10
1121;KFO;562;3934;1
3934;KDT;FU074;2852;1
58;KGER;KN04;;1
3550;USE;KU222;;12
383;KDT;FU113;;2
392;KV1;7910;;2
363;KHV;PHK27;;21
147;KDT;031;2801;2
1006;KBO;7156;630;1
229;KPR;7953;;2
9501;KFU;W0002;929;2
1875;KPS;7831;;1
69;KFY;PM;1803,304,3222,3521;2
69;KFY;PM;1803,304,3222,3521;2
355;KHV;D046;;10
723,162;UTM;KUZP1;;9
723,162;UTM;KUZP1;;9
507;KAJ;7731;;2
2410;KTV;7332;376;3
8910;KVV;PHK09;;2
2404;KPS;Q951;3759;2
4293;KVP;053;6946,2803;4
437;CCV;H7333;;3
1216;USE;PX018;3304;3
8520;KAJ;7014;;1
1947;KVK;732;8436;1
277;KBO;Q16;3651,1006;2
4273;KECHT;6TEVO;5432,8008;15
724;USE;KD202;;3
9464;KPOL;B404;;1
143;KDT;877;1954;2
1227;USE;PX019;;1
355;KHV;PHK33;;12
4273;KECHT;5TEVO;5432,8008;2
1643;KSSP;Q7311;;4
4712;USE;PU543;;1
1875;KPS;7335;243;4
8910;KVV;PH007;;2
1479;KGI;5PAPD;;1
143;KDT;541;3934;2
312;KGEO;B406;7684;1
1121;KFO;828;8452,8453;4
3477;UTM;KB042;3758;12
355;KHV;PHK14;;5
2029;UTM;BK007;;12
143;KDT;759;3934;1
9545;KFHS;B320;;1
724;USE;BK047;4228;10
384;KVV;7414;3691;1
383;KVV;7533;4700;1
2777;KGER;TLS;;1
3153;KVV;7535;7547;1
261;KMA;KDM1;425;4
1939;FJC;BNK4;7955;1
5726;KSSP;77316;;5
392;KV1;7932;;3
2787;KGI;4SBA1;;8
1119;KPAD;7332;3242,6691;8
6371;KSSP;Q993;;4
4594;KZR;GPZ2;4593;16
7973;CCV;R7311;3538;5
3538;KPR;7911;;4
9279;KSZD;SUOK9;3647;9
2029;UTM;KD212;;3
1528;USE;PD101;;3
355;KHV;PHK08;;4
1610;CCV;PMV13;;20
355;KHV;PHK35;;12
437;KH1;Q934;;2
158;UTM;PD203;;3
277;KBO;PHK16;3651,1006;3
7434;KBO;PHK08;;8
1050;KTV;71521;;2
4228;USE;PV525;7428;2
162;UTM;KX083;8440;10
1643;KSSP;Q997;;2
433;KHV;7535;;1
3203;CCV;T3110;;3
1644;KRRVS;5UVDR;6897;2
1644;KRRVS;5UVDR;6897;2
1429;KGER;DRNJ2;;1
1479;KGI;6ANPD;;10
9814;KO;OIV9;;6
220;KAJ;7612;;2
3538;KPR;7311;;5
164;USE;KD102;;3
8910;KVV;PHK04;384,4700;1
4680;KFY;KMECH;613;12
229;KPR;7972;;3
2980;KEO;FU072;;1
8910;KVV;PH018;384,4700;1
147;KDT;032;3934;2
162;UTM;BK051;;6
1983;KBI;BK201;;6
2029;UTM;PU328;501;3
2029;UTM;PU328;501;3
3477;UTM;KU042;3758;12
8729;KPR;7332;;3
370;KTV;7319;1050;3
615;KFY;M303;79;2
2029;UTM;PU128;501;3
2029;UTM;PU128;501;3
154;KVP;762;;1
6937;USE;KU155;;10
597;KDT;881;2852;2
8512;KBI;BP333;930;2
355;KHV;PHK36;;15
6773;KFU;MVFRR;6120;2
277;KBO;PHK01;3651,1006;3
543;KGI;4DGIF;8276;8
370;KTV;7119;1050;1
6371;KSSP;7993;;4
1644;KRRVS;MINMA;7644,6897;2
1644;KRRVS;MINMA;7644,6897;2
8910;KVV;PHK33;;2
640;KDT;FU007;1954;2
355;KHV;PHK23;;6
724;USE;KY006;1422;10
3553;CNB;PTVN;4587;1
4273;KECHT;5TOVO;5432,8008;2
143;KDT;760;3934;1
2029;UTM;PD212;;3
1116;KUU;779;9307;2
8944;KZP;6MSSA;9782;10
277;KBO;Q07;3651,1006;2
158;UTM;KD203;;3
2054;UTM;DP033;;3
2410;KTV;Q332;376;3
4971;KDT;892;8174;2
433;KHV;PHK26;;15
724;USE;PD202;;3
723;UTM;KUZP2;;9
154;KVP;764;;1
8745;KTV;Q012;;1
1121;KFO;836;8452,8453;5
2029;UTM;KD208;;3
2054;UTM;DK033;;3
573;KSSP;7319;336;4
3189;USE;PU001;1528;4
8910;KVV;PHK05;384,4700;1
2434;KV1;7350;3168;4
8915;KVK;FU025;9537;1
2434;KV1;7151;3168;1
476;KRRVS;5UZSS;2142;2
1633;KGI;3POSV;7684;1
3097;KSP;6UDSP;5310;2
3691;KVV;7012;8755;1
355;KHV;PHK39;;10
8910;KVV;PH006;;3
1505;UTM;KB095;1569;8
2029;UTM;KD107;;3
431;KVP;039;154;4
3477;UTM;PU242;3758;3
355;KHV;PHK29;;20
355;KHV;PHK09;;4
8910;KVV;PHK07;;2
3203;KTV;7114;;1
8512;KBI;BK333;930;8
229;KPR;Q9511;;2
1643;CCV;PMV10;6058;15
162;UTM;KXZP1;;6
143;KDT;010;2801;2
5960;KZR;RAZK2;;4
150;KDT;804;640;1
1121;KFO;854;3934;2
154;KVP;765;;1
229;KPR;Q9711;;3
4712;USE;PU143;;1
822;CCV;G7712;8398;8
1875;KPS;7930;249;2
1528;USE;DK005;;3
1429;KGER;TK;;1
1644;KRRVS;MGLRE;5457;2
8910;KVV;PH023;;2
423;KZR;RT1R2;8573,6226;16
723;UTM;PY050;4673;2
4153;KPR;Q994;;2
1116;KUU;780;9307;2
3691;KVV;7110;8755;1
2787;KGI;6GIAJ;;8
8729;KPR;7132;;1
5726;KSSP;75316;;1
8501;KZP;4AKRE;3212;8
1528;USE;KTZ01;;12
4268,4230;XPF;X1;14;2
4268,4230;XPF;X1;14;2
4268,4230;XPF;X1;14;2
1534;KF;CHFK9;;10
147;KDT;875;9900;2
355;KHV;PHK12;;30
817;KHI;PBH54;;2
1528;USE;KD101;;3
1653;KPS;4952;3759,4410,5192;5
2029;UTM;PD208;;3
3538;KPR;7811;;1
370;KTV;7353;39;3
69;KFY;KPM;1803,304,3222,3521;8
69;KFY;KPM;1803,304,3222,3521;8
7434;KBO;PHK02;;8
355;KHV;PHK24;;6
164;USE;PD102;;3
1610;CCV;PMV06;;20
158;UTM;DP008;;3
3550;USE;PX214;;2
383;KDT;FU025;9900;1
1121;KFO;563;3934;1
921;KECHT;3OPAV;;7
164;USE;DP032;;3
9629;KDE;FU015;;4
1875;KPS;7850;3759,4410;1
8535;UTM;PU302;7416;2
8910;KVV;PH028;;2
9629;KDE;FU039;;3
629;KPR;79714;;2
629;KPR;Q9713;;4
1947;KVK;731;8436;1
355;KHV;PHK19;;35
355;KHV;PHK10;;4
1070;KPR;79310;;2
7015;KECHT;3CHZ;8200,8515;2
8727;KF;RPF9;;10
3538;KPR;79311;;2
8488;KSSP;73312;7646;4
723;UTM;NK050;4673;14
147;KDT;FU065;9900;2
407;KHV;D047;336;10
4153;KPR;7998;;2
1653;KPS;4855;3759,5192;5
2410;KTV;Q132;376;1
9493;KPP;PZPRA;4151;1
9493;KPP;PZPRA;4151;1
629;KPR;7976;;4
3452;KGEO;B104;4303,5855;2
2029;UTM;KD205;;3
1121;KFO;830;8452,8453;4
3203;KTV;7314;;3
5833;KAPV;KBA32;;2
1528;USE;KX201;5221,3760;18
2029;UTM;PD107;;3
359;KHV;71313;;1
437;KH1;7333;;3
9545;KFHS;B312;;1
2937;KSP;6ANSP;24;2
2937;KSP;6ANSP;24;2
277;KBO;Q007;3651,1006;2
1528;USE;DP005;;3
6120;KFU;5FVVS;929;2
4712;USE;KU543;;8
433;KHV;PHK21;;6
277;KBO;PH016;3651,1006;2
1875;KPS;4171;243,1086;1
1050;KTV;7054;;1
3477;UTM;PB042;3758;2
1121;KFO;835;8452,8453;5
322;KGER;KNL3;;4
1050;KTV;Q1521;;2
1643;KSSP;77311;;4
229;KPR;79711;;3
3830;KPAD;7990;;4
1932;USE;PD302;;3
9629;KDE;FU003;;3
1904;KFHS;B305;;1
355;KHV;PHK13;;25
308;KFY;M302;4680;3
2980;KFO;751;8451;1
1983;KBI;BP201;;3
355;KHV;PHK01;;4
164;USE;DK032;;3
154;KVP;763;;1
383;KVV;71511;7547;2
1875;KPS;Q970;3268,243;4
8745;KTV;7012;;1
3203;KTV;Q114;;1
308;UTM;DP006;;3
1429;KGER;DR2;;1
7434;KBO;PHK17;;8
1875;KPS;7135;243;1
9814;KO;OIVK9;;8
1633;KGI;4POSV;7684;8
3203;KTV;Q3110;;3
164;USE;KD111;;3
1875;KPS;7950;3759,4410;5
355;KHV;PHK32;;10
356;KHV;D033;;10
4971;KDT;893;9900;2
1875;KPS;7931;249;2
8910;KVV;PHK17;;3
4228;USE;KUZP3;;10
8944;KZP;5MSSA;9782;2
1643;KSSP;7997;;2
355;KHV;PHK22;;4
159;KPR;Q9512;;2
4712;USE;KU143;;10
723;UTM;KXZP2;;14
1121;KDT;FU051;9525;1
8488;KSSP;Q3312;7646;4
355;KHV;PHK28;;15
543;KGI;3DGIF;8276;2
8910;KVV;PH004;384,4700;1
277;KBO;Q01;3651,1006;2
923;KEMA;MAPMA;6009;2
923;KEMA;MAPMA;6009;2
1528;USE;KTZ02;;12
1528;USE;PTZ01;;26
629;KPR;79713;;4
370;KTV;Q119;40;1
4228;USE;KV525;7428;16
384;KVV;7717;4700;4
437;KH1;7930;;2
2787;KGI;3GIF3;8276,9902;2
1479;KZP;5NAPO;786;2
261;KGI;5MATA;5205;2
1553;KHI;D06M;;2
4293;KVP;052;6946,2803;4
3161;KGER;KN05;;1
4153;KPR;Q998;;2
2404;KPS;7951;3759,4410;2
4228;USE;KV125;7428;16
3830;KPAD;Q990;;4
1429;KGER;KN09;;1
308;UTM;DK006;;3
355;KHV;PHK30;;25
1050;KTV;Q054;;1
164;USE;KY053;4712;10
8910;KVV;PHK28;;2
437;KH1;7936;;2
1644;KGEO;M107;5457;2
229;KPR;79511;;2
355;KHV;PHK04;;4
8910;KVV;PH009;;2
3934;KDT;FU046;853;1
8488;CCV;G3312;7646;4
817;KHI;KBH54;;8
8282;KZP;5HPZP;9790;2
1528;USE;PTZ02;;26
370;KTV;Q153;39;1
2882;KF;TVF19;;10
384;KVV;7512;4700;1
1875;KPS;Q850;3759,4410;1
164;USE;S003P;;3
159;KPR;79512;;2
5833;KAPV;KBA14;;2
392;KV1;7911;;3
384;KVV;7714;3691;4
407;KPG;4238;;1
216;KAJ;7013;8520;1
216;KAJ;7013;8520;1
8535;UTM;KU302;7416;12
573;CCV;7319G;8398;4
1875;KPS;Q930;249;2
4228;USE;PV125;7428;2
322;KGER;KSDP1;;2
8910;KVV;PHK06;;3
5310;KSP;6SCP2;1632;2
3934;KDT;FU075;;2
355;KHV;PHK25;;40
322;KGER;KRS3;;2
158;UTM;DK008;;3
8910;KVV;PH017;;3
1983;KBI;P201;;3
3477;UTM;PX042;3758;2
2029;UTM;PD205;;3
723;UTM;PY241;;2
2434;KV1;7351;3168;4
8520;KAJ;E003;;1
1006;KBO;7356;630;4
370;KTV;Q353;39;3
363;KHV;PHK18;;35
3538;KPR;7934;;2
383;KDT;FU026;9900;1
3477;UTM;KU242;3758;14
573;KSSP;Q319;336;4
853;KDT;005;2852;2
277;KBO;7412;;1
1434;KPRF;0101;;2
1070;KPR;7912;;4
277;KBO;PH007;3651,1006;2
1875;KPS;7351;3268,243;5
437;KH1;7934;;2
3477;UTM;KX042;3758;11
355;KHV;PHK31;;8
3189;USE;KU001;1528;18
1070;KPR;7933;;2
573;CCV;PMV05;1077;15
7015;KECHT;4CHZ;8200,8515;8
1632;KSP;6SPPG;3647;2
171;KZP;4SBO2;;6
3203;KTV;73110;;3
2434;KV1;7150;3168;1
5139;KDT;FU053;597;1
1216;USE;KX018;3304;15
507;KAJ;7713;;4
289;KBO;7014;;1
573;KSSP;7119;336;1
433;KHV;PHK20;;12
1070;KPR;7917;;4
306;UTM;PY097;;2
370;KTV;7153;39;1
370;KTV;73310;929;3
1875;KPS;4198;3268,243,1086;1
2029;UTM;KD106;;3
3203;KTV;Q314;;3
355;KHV;PHK11;;4
384;KVV;7413;4700;1
370;KTV;Q319;40;3
370;KTV;Q3310;929;3
277;KBO;PHK07;3651,1006;3
1064;KECHT;5OCHT;429;2
355;KHV;PHK16;;15
8910;KVV;PH033;;2
143;KDT;FU005;6164;2
1505;UTM;BK040;3501;12
1050;KTV;Q3521;;7
640;KDT;FU018;9541;2
3153;KVV;7152;7547;2
8910;KVV;PH005;384,4700;1
3725;KF;FZ3K9;;10
355;KHV;PHK37;;10
