katedra,zkratka,idno,typAkceZkr,rok,datumOd,datumDo,hodinaSkutOd,hodinaSkutDo,identifier,katedra_right,nazev,seminarici,seminariciUcitIdno,jmena
KI,0204,,Se,2023,20.2.2024,14.5.2024,15:00,15:50,0204KI,KI,Microsoft SQL Server,'Mgr. Květuše Sýkorová',835,
KI,0204,,Se,2023,27.2.2024,7.5.2024,15:00,16:50,0204KI,KI,Microsoft SQL Server,'Mgr. Květuše Sýkorová',835,
KCH,B213,8946,Se,2023,20.2.2024,14.5.2024,10:00,11:50,B213KCH,KCH,Odborná angličtina,"'doc. Ing. Jan Čermák, CSc.'",1064,"Paříková Anna, Mgr."
KCH,BK213,8946,Se,2023,6.4.2024,6.4.2024,13:00,16:50,BK213KCH,KCH,Odborná angličtina,"'doc. Ing. Jan Čermák, CSc.'",1064,"Paříková Anna, Mgr."
KCH,BK213,8946,Se,2023,20.4.2024,20.4.2024,13:00,16:50,BK213KCH,KCH,Odborná angličtina,"'doc. Ing. Jan Čermák, CSc.'",1064,"Paříková Anna, Mgr."
KCH,BK214,4226,Se,2023,10.5.2024,10.5.2024,09:00,12:50,BK214KCH,KCH,Odborný seminář A,"'doc. Ing. Jan Čermák, CSc.'",1064,"Kadlečková Ivana, Ing."
KCH,BK308,4226,Se,2023,5.1.2024,5.1.2024,09:00,09:50,BK308KCH,KCH,Odborný seminář B,"'doc. Ing. Jan Čermák, CSc.'",1064,"Kadlečková Ivana, Ing."
KCH,BK320,9475,Se,2023,5.1.2024,5.1.2024,17:00,20:50,BK320KCH,KCH,Seminář z průmyslové chemie,"'doc. Ing. Jaromír Lederer, CSc.'",1543,"Šimek Josef, Ing. Ph.D."
KI,DIPL1,2220,Se,2023,5.10.2023,4.1.2024,17:00,17:50,DIPL1KI,KI,Diplomový seminář I,"'Mgr. Jiří Fišer, Ph.D.'",251,"Škvor Jiří, RNDr. Ph.D."
KI,DPS1,2220,Se,2023,25.10.2023,20.12.2023,16:00,16:50,DPS1KI,KI,Diplomový seminář I,"'Mgr. Jiří Fišer, Ph.D.'",251,"Škvor Jiří, RNDr. Ph.D."
KI,DPS2,2220,Se,2023,21.2.2024,24.4.2024,19:00,19:50,DPS2KI,KI,Diplomový seminář II,"'Mgr. Jiří Fišer, Ph.D.'",251,"Škvor Jiří, RNDr. Ph.D."
KI,IKT,835,Se,2023,3.10.2023,2.1.2024,14:00,15:50,IKTKI,KI,Informační a komunikační technologie,"'Ing. Pavel Kuba, Ph.D.'",2317,"Sýkorová Květuše, Mgr."
KI,IKT,835,Se,2023,3.10.2023,2.1.2024,10:00,11:50,IKTKI,KI,Informační a komunikační technologie,"'Ing. Pavel Kuba, Ph.D.'",2317,"Sýkorová Květuše, Mgr."
KI,IKT,835,Se,2023,3.10.2023,2.1.2024,12:00,13:50,IKTKI,KI,Informační a komunikační technologie,"'Ing. Pavel Kuba, Ph.D.'",2317,"Sýkorová Květuše, Mgr."
KI,IKT,835,Se,2023,2.10.2023,18.12.2023,14:00,15:50,IKTKI,KI,Informační a komunikační technologie,"'Ing. Pavel Kuba, Ph.D.'",2317,"Sýkorová Květuše, Mgr."
KI,IKT,449,Se,2023,5.10.2023,4.1.2024,08:00,09:50,IKTKI,KI,Informační a komunikační technologie,"'Ing. Pavel Kuba, Ph.D.'",2317,"Barilla Jiří, doc. Ing. Mgr. CSc."
KI,KANE,5232,Se,2023,2.12.2023,2.12.2023,11:00,12:50,KANEKI,KI,Analogová elektronika,"",,"Lustig František, doc. RNDr. CSc."
KI,KDI2,2776,Se,2023,10.5.2024,10.5.2024,13:00,13:50,KDI2KI,KI,Didaktika informatiky II,"",,"Krejčí Jan, RNDr. Ph.D."
KI,KDI2,2776,Se,2023,10.5.2024,10.5.2024,16:00,16:50,KDI2KI,KI,Didaktika informatiky II,"",,"Krejčí Jan, RNDr. Ph.D."
KI,KDIB,2776,Se,2023,11.5.2024,11.5.2024,09:00,10:50,KDIBKI,KI,Datová a informační bezpečnost,"",,"Krejčí Jan, RNDr. Ph.D."
KI,KDINB,2776,Se,2023,11.5.2024,11.5.2024,09:00,10:50,KDINBKI,KI,Datová a informační bezpečnost,"",,"Krejčí Jan, RNDr. Ph.D."
KI,KDIP1,2220,Se,2023,14.10.2023,14.10.2023,13:00,13:50,KDIP1KI,KI,Diplomový seminář I,"'Mgr. Jiří Fišer, Ph.D.'",251,"Škvor Jiří, RNDr. Ph.D."
KI,KDIP2,2220,Se,2023,6.4.2024,6.4.2024,12:00,12:50,KDIP2KI,KI,Diplomový seminář II,"'Mgr. Jiří Fišer, Ph.D.'",251,"Škvor Jiří, RNDr. Ph.D."
KI,KDIP2,2220,Se,2023,6.4.2024,6.4.2024,11:00,11:50,KDIP2KI,KI,Diplomový seminář II,"'Mgr. Jiří Fišer, Ph.D.'",251,"Škvor Jiří, RNDr. Ph.D."
KI,KDPS1,2220,Se,2023,14.10.2023,14.10.2023,14:00,14:50,KDPS1KI,KI,Diplomový seminář I,"'Mgr. Jiří Fišer, Ph.D.'",251,"Škvor Jiří, RNDr. Ph.D."
KI,KIKT,835,Se,2023,11.11.2023,11.11.2023,16:00,17:50,KIKTKI,KI,Informační a komunikační technologie,"'Ing. Pavel Kuba, Ph.D.'",2317,"Sýkorová Květuše, Mgr."
KI,KIKT,835,Se,2023,2.12.2023,2.12.2023,10:00,13:50,KIKTKI,KI,Informační a komunikační technologie,"'Ing. Pavel Kuba, Ph.D.'",2317,"Sýkorová Květuše, Mgr."
KI,KITP,2776,Se,2023,18.5.2024,18.5.2024,16:00,17:50,KITPKI,KI,Internetové technologie a protokoly,"",,"Krejčí Jan, RNDr. Ph.D."
KCH,KN231,4226,Se,2023,10.5.2024,10.5.2024,09:00,12:50,KN231KCH,KCH,Seminář k diplomové práci A,"'doc. Ing. Jan Čermák, CSc.'",1064,"Kadlečková Ivana, Ing."
KI,KOOD,6973,Se,2023,2.12.2023,2.12.2023,16:00,17:50,KOODKI,KI,Objektově orientovaný návrh,"",,"Beránek Pavel, Ing. Mgr."
KI,KOTT,650,Se,2023,13.4.2024,13.4.2024,12:00,12:50,KOTTKI,KI,Optimalizace,"",,"Kubera Petr, RNDr. Ph.D."
KI,KOTT,9114,Se,2023,11.5.2024,11.5.2024,15:00,15:50,KOTTKI,KI,Optimalizace,"",,"Moosaei Hossein, Dr. Ph.D."
KI,KPCA,2317,Se,2023,3.12.2023,3.12.2023,14:00,15:50,KPCAKI,KI,Architektura počítačů,"",,"Kuba Pavel, Ing. Ph.D."
KI,KPDSA,251,Se,2023,6.1.2024,6.1.2024,17:00,18:50,KPDSAKI,KI,Pokročilé datové struktury a algoritmy,"",,"Fišer Jiří, Mgr. Ph.D."
KI,KPEK,7352,Se,2023,26.11.2023,26.11.2023,11:00,12:50,KPEKKI,KI,Podniková ekonomika,"",,"Zimová Štěpánka, Ing."
KI,KPNUM,2220,Se,2023,6.1.2024,6.1.2024,14:00,14:50,KPNUMKI,KI,Pokročilé numerické metody,"",,"Škvor Jiří, RNDr. Ph.D."
KI,KPSE,2776,Se,2023,17.12.2023,17.12.2023,16:00,17:50,KPSEKI,KI,Počítačové sítě,"",,"Krejčí Jan, RNDr. Ph.D."
KBI,KRSPP,8952,Se,2023,2.3.2024,2.3.2024,09:00,11:50,KRSPPKBI,KBI,Reflektivní seminář pedagogické praxe,"'PaedDr. Milan Kubiatko, PhD.'",8021,"Svobodová Silvie, PhDr. Ing. Ph.D."
KMA,KSBP,261,Se,2023,10.11.2023,10.11.2023,09:00,12:50,KSBPKMA,KMA,Seminář k bakalářské práci,"'RNDr. Martin Kuřil, Ph.D.'",264,"Eisenmann Petr, doc. PaedDr. CSc."
KI,KSBP1,2220,Se,2023,14.10.2023,14.10.2023,13:00,13:50,KSBP1KI,KI,Seminář k bakalářské práci I,"'Mgr. Jiří Fišer, Ph.D.'",251,"Škvor Jiří, RNDr. Ph.D."
KI,KSBP2,2220,Se,2023,6.4.2024,6.4.2024,11:00,11:50,KSBP2KI,KI,Seminář k bakalářské práci II,"'Mgr. Jiří Fišer, Ph.D.'",251,"Škvor Jiří, RNDr. Ph.D."
KI,KSBP2,2220,Se,2023,6.4.2024,6.4.2024,12:00,12:50,KSBP2KI,KI,Seminář k bakalářské práci II,"'Mgr. Jiří Fišer, Ph.D.'",251,"Škvor Jiří, RNDr. Ph.D."
KI,KSP2,6259,Se,2023,13.3.2024,15.5.2024,13:00,14:50,KSP2KI,KI,Semestrální projekt II,"'doc. Ing. Mgr. Jiří Barilla, CSc.', 'Mgr. Jiří Fišer, Ph.D.', 'RNDr. Jan Krejčí, Ph.D.', 'RNDr. Petr Kubera, Ph.D.', 'doc. RNDr. Zbyšek Posel, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","449, 251, 2776, 650, 3521, 2220","Škvára Jiří, RNDr. Ph.D."
KI,KSP2,6259,Se,2023,13.3.2024,15.5.2024,17:00,18:50,KSP2KI,KI,Semestrální projekt II,"'doc. Ing. Mgr. Jiří Barilla, CSc.', 'Mgr. Jiří Fišer, Ph.D.', 'RNDr. Jan Krejčí, Ph.D.', 'RNDr. Petr Kubera, Ph.D.', 'doc. RNDr. Zbyšek Posel, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","449, 251, 2776, 650, 3521, 2220","Škvára Jiří, RNDr. Ph.D."
KI,KTZI2,267,Se,2023,12.5.2024,12.5.2024,11:00,12:50,KTZI2KI,KI,Teoretické základy informatiky II,"",,"Přibyl Jiří, PhDr. Ph.D."
KI,KZPS,2776,Se,2023,25.11.2023,25.11.2023,12:00,12:50,KZPSKI,KI,Základy počítačových sítí a protokolů,"",,"Krejčí Jan, RNDr. Ph.D."
KI,KZPS,2776,Se,2023,25.11.2023,25.11.2023,13:00,13:50,KZPSKI,KI,Základy počítačových sítí a protokolů,"",,"Krejčí Jan, RNDr. Ph.D."
KCH,N231,4226,Se,2023,28.3.2024,28.3.2024,13:00,14:50,N231KCH,KCH,Seminář k diplomové práci A,"'doc. Ing. Jan Čermák, CSc.'",1064,"Kadlečková Ivana, Ing."
KCH,N231,4226,Se,2023,29.2.2024,29.2.2024,13:00,14:50,N231KCH,KCH,Seminář k diplomové práci A,"'doc. Ing. Jan Čermák, CSc.'",1064,"Kadlečková Ivana, Ing."
KCH,N231,4226,Se,2023,25.4.2024,25.4.2024,13:00,14:50,N231KCH,KCH,Seminář k diplomové práci A,"'doc. Ing. Jan Čermák, CSc.'",1064,"Kadlečková Ivana, Ing."
KCH,N231,4226,Se,2023,18.4.2024,18.4.2024,13:00,14:50,N231KCH,KCH,Seminář k diplomové práci A,"'doc. Ing. Jan Čermák, CSc.'",1064,"Kadlečková Ivana, Ing."
KCH,N231,4226,Se,2023,4.4.2024,4.4.2024,13:00,14:50,N231KCH,KCH,Seminář k diplomové práci A,"'doc. Ing. Jan Čermák, CSc.'",1064,"Kadlečková Ivana, Ing."
KCH,N231,4226,Se,2023,7.3.2024,7.3.2024,13:00,14:50,N231KCH,KCH,Seminář k diplomové práci A,"'doc. Ing. Jan Čermák, CSc.'",1064,"Kadlečková Ivana, Ing."
KFY,NADS1,2384,Se,2023,2.10.2023,18.12.2023,10:00,10:50,NADS1KFY,KFY,Diplomový seminář I,"'prof. RNDr. Pavla Čapková, DrSc.'",3553,"Kormunda Martin, doc. Ing. Ph.D."
KI,OSIT,6973,Se,2023,1.3.2024,10.5.2024,16:00,17:50,OSITKI,KI,Odborný seminář IT,"'Mgr. Jiří Fišer, Ph.D.', 'RNDr. Jan Krejčí, Ph.D.', 'doc. RNDr. Mgr. Viktor Maškov, DrSc.', 'RNDr. Jiří Škvor, Ph.D.'","251, 2776, 2239, 2220","Beránek Pavel, Ing. Mgr."
KI,PAP,9292,Se,2023,5.3.2024,14.5.2024,15:00,16:50,PAPKI,KI,Průmyslová automatizace v praxi,"",,
KFY,PPP,301,Se,2023,6.10.2023,22.12.2023,09:00,11:50,PPPKFY,KFY,Průběžná pedagogická praxe,"'RNDr. Jiří Králík, Ph.D.'",303,"Hejnová Eva, RNDr. Ph.D."
KI,PS1,6973,Se,2023,5.10.2023,4.1.2024,18:00,18:50,PS1KI,KI,Projektový seminář I,"'RNDr. Jiří Škvor, Ph.D.'",2220,"Beránek Pavel, Ing. Mgr."
KI,PS2,251,Se,2023,1.3.2024,26.4.2024,12:00,12:50,PS2KI,KI,Projektový seminář II,"'RNDr. Jiří Škvor, Ph.D.'",2220,"Fišer Jiří, Mgr. Ph.D."
KI,PS2,6259,Se,2023,23.2.2024,17.5.2024,12:00,13:50,PS2KI,KI,Projektový seminář II,"'RNDr. Jiří Škvor, Ph.D.'",2220,"Škvára Jiří, RNDr. Ph.D."
KI,PS2,251,Se,2023,23.2.2024,17.5.2024,12:00,13:50,PS2KI,KI,Projektový seminář II,"'RNDr. Jiří Škvor, Ph.D.'",2220,"Fišer Jiří, Mgr. Ph.D."
KI,PS2,6259,Se,2023,1.3.2024,26.4.2024,12:00,12:50,PS2KI,KI,Projektový seminář II,"'RNDr. Jiří Škvor, Ph.D.'",2220,"Škvára Jiří, RNDr. Ph.D."
KGEO,PSPP,6384,Se,2023,20.2.2024,14.5.2024,09:00,09:50,PSPPKGEO,KGEO,Přípravný seminář k pedagogické praxi,"",,"Trahorsch Petr, Mgr. Ph.D."
KBI,RSPP,8952,Se,2023,23.2.2024,17.5.2024,13:00,14:50,RSPPKBI,KBI,Reflektivní seminář pedagogické praxe,"'PaedDr. Milan Kubiatko, PhD.'",8021,"Svobodová Silvie, PhDr. Ing. Ph.D."
KI,SBP1,2220,Se,2023,5.10.2023,4.1.2024,17:00,17:50,SBP1KI,KI,Seminář k bakalářské práci I,"'Mgr. Jiří Fišer, Ph.D.'",251,"Škvor Jiří, RNDr. Ph.D."
KI,SP2,6259,Se,2023,23.2.2024,17.5.2024,16:00,18:50,SP2KI,KI,Semestrální projekt II,"'doc. Ing. Mgr. Jiří Barilla, CSc.', 'Mgr. Jiří Fišer, Ph.D.', 'RNDr. Jan Krejčí, Ph.D.', 'RNDr. Petr Kubera, Ph.D.', 'doc. RNDr. Zbyšek Posel, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","449, 251, 2776, 650, 3521, 2220","Škvára Jiří, RNDr. Ph.D."
KI,SP2,6259,Se,2023,22.2.2024,16.5.2024,09:00,11:50,SP2KI,KI,Semestrální projekt II,"'doc. Ing. Mgr. Jiří Barilla, CSc.', 'Mgr. Jiří Fišer, Ph.D.', 'RNDr. Jan Krejčí, Ph.D.', 'RNDr. Petr Kubera, Ph.D.', 'doc. RNDr. Zbyšek Posel, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","449, 251, 2776, 650, 3521, 2220","Škvára Jiří, RNDr. Ph.D."
